id	label
mr6dgu9	bonding
msxh1ze	aggression
msn6jab	aggression
mnwds7y	emphasis
mswqi4e	aggression
ms5049z	aggression
msup56m	aggression
mswf69a	bonding
mq23sdw	aggression
msw0v6a	aggression
mqso1fu	frustration
mq4baan	frustration
msed274	emphasis
mt0gf7m	frustration
mq6cuwd	emphasis
mr3dujk	emphasis
mrdth2a	emphasis
msxypas	bonding
mt3714u	aggression
mrduhcz	emphasis
msk0521	frustration
msxgwvx	emphasis
mrdt1jt	emphasis
mrdyvmp	emphasis
msgx564	aggression
mt0vt57	emphasis
mpfulq5	aggression
mqdi8e1	emphasis
mre4c8q	bonding
msva0es	frustration
mpr61d3	frustration
mpua6vp	emphasis
mpj8arg	emphasis
mqwwho7	aggression
mnt7t7u	emphasis
mt25w9p	emphasis
mrdy577	emphasis
msuu9wr	frustration
mt0lhw0	aggression
mr1ubnk	emphasis
msp4dqe	frustration
mrzcn07	frustration
mqrdtbg	aggression
mriuymi	bonding
msofwpy	ambiguous
mntj7au	emphasis
msvu6fh	aggression
mszq43v	emphasis
mq6zg9h	frustration
