id	label
mr6dgu9	bonding
msxh1ze	aggression
msn6jab	aggression
mnwds7y	frustration
mswqi4e	aggression
ms5049z	frustration
msup56m	aggression
mswf69a	frustration
mq23sdw	ambiguous
msw0v6a	aggression
mqso1fu	emphasis
mq4baan	ambiguous
msed274	emphasis
mt0gf7m	aggression
mq6cuwd	bonding
mr3dujk	bonding
mrdth2a	ambiguous
msxypas	bonding
mt3714u	bonding
mrduhcz	emphasis
msk0521	aggression
msxgwvx	emphasis
mrdt1jt	frustration
mrdyvmp	emphasis
msgx564	frustration
mt0vt57	emphasis
mpfulq5	bonding
mqdi8e1	ambiguous
mre4c8q	ambiguous
msva0es	frustration
mpr61d3	frustration
mpua6vp	aggression
mpj8arg	ambiguous
mqwwho7	aggression
mnt7t7u	emphasis
mt25w9p	emphasis
mrdy577	emphasis
msuu9wr	frustration
mt0lhw0	aggression
mr1ubnk	emphasis
msp4dqe	bonding
mrzcn07	frustration
mqrdtbg	frustration
mriuymi	frustration
msofwpy	ambiguous
mntj7au	emphasis
msvu6fh	aggression
mszq43v	emphasis
mq6zg9h	frustration
